SKU,Product title,Product main image,Product Details Page Link,Sale price,Commission,Promotion Link
SKUJ26638,Shorts recortados con hebilla sólida,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/BF/3D/908a1328-7205-4dc0-8685-bafea9ff3150.jpg?s=235x313,https://www.newchic.com/es/newchic-shorts-3672/p-1957473.html,6.04,0.72,https://www.newchic.com/es/newchic-shorts-3672/p-1957473.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1957473
SKUJ34526,Collar Johnny Texturizado Golf Camisa,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/46/3A/6cda794c-027e-4e21-8556-68f3f27cbdf4.jpg?s=235x313,https://www.newchic.com/es/incerun-golf-shirts-12210/p-1957709.html,24.14,2.9,https://www.newchic.com/es/incerun-golf-shirts-12210/p-1957709.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1957709
SKUJ35910,Shorts de bolsillo con estampado de flores tropicales,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/9E/95/3f3d6bc8-267b-4e17-902e-bf83195a9c70.jpg?s=235x313,https://www.newchic.com/es/selfsow-shorts-3672/p-1959274.html,20.99,2.52,https://www.newchic.com/es/selfsow-shorts-3672/p-1959274.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1959274
SKUJ49231,Solapa de ganchillo con encaje floral Camisa,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/54/CD/a7e69d07-f753-465e-9401-21acf994774b.jpg?s=235x313,https://www.newchic.com/es/incerun-shirts-12209/p-1970162.html,25.19,3.02,https://www.newchic.com/es/incerun-shirts-12209/p-1970162.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1970162
SKUJ49091,Hombros descubiertos florales de talla grande Vestido,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/FF/FB/f1c98afd-3d66-4221-bf15-7c92bd94faea.jpg?s=235x313,https://www.newchic.com/es/yoins-plus-size-print-dresses-5159/p-1970485.html,12.59,1.51,https://www.newchic.com/es/yoins-plus-size-print-dresses-5159/p-1970485.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1970485
SKUJ66553,Tribal Patrón Campana Vestido,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/D8/74/b50c5041-abb7-4a9c-8901-ec8104040ee0.jpg?s=235x313,https://www.newchic.com/es/zanzea-vintage-dresses-3664/p-1972050.html,7.19,0.86,https://www.newchic.com/es/zanzea-vintage-dresses-3664/p-1972050.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1972050
SKUJ49261,Estampado floral Cinturón Volante Vestido,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/5F/29/c57017f1-cf82-4ec2-8415-45e0ed026dd2.jpg?s=235x313,https://www.newchic.com/es/zanzea-print-dresses-3677/p-1972054.html,7.88,0.95,https://www.newchic.com/es/zanzea-print-dresses-3677/p-1972054.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1972054
SKUJ51802,Camiseta sin mangas de punto acanalado,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/92/AA/5992f7ad-fc1c-4889-a033-0bd9c53e9523.jpg?s=235x313,https://www.newchic.com/es/incerun-tanks-12206/p-1972092.html,17.84,2.14,https://www.newchic.com/es/incerun-tanks-12206/p-1972092.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1972092
SKUJ55392,Blusa con botones en el bolsillo y estampado de rayas,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/22/49/31330ad3-e47a-4a6e-9765-3a78449860d9.jpg?s=235x313,https://www.newchic.com/es/zanzea-blouses-and-shirts-3689/p-1972566.html,7.61,0.91,https://www.newchic.com/es/zanzea-blouses-and-shirts-3689/p-1972566.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1972566
SKUJ54093,Blazer corto casual con solapa sólida,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/51/B4/47ad63c6-d35c-4c0f-be41-5ef128b3a0ac.jpg?s=235x313,https://www.newchic.com/es/incerun-blazers-12213/p-1973711.html,23.09,2.77,https://www.newchic.com/es/incerun-blazers-12213/p-1973711.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1973711
