SKU,Product title,Product main image,Product Details Page Link,Sale price,Commission,Promotion Link
SKUJ08155,Camisetas estampadas estilo japonés Gato,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/02/1F/3bb558e8-004f-45a8-8ed7-8a5cea95cd8c.jpg?s=235x313,https://es.newchic.com/charmkpr-t-shirts-12208/p-1936572.html,11.33,1.36,https://es.newchic.com/charmkpr-t-shirts-12208/p-1936572.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1936572
SKUJ03339,Sudaderas con capucha con estampado japonés de flores de cerezo,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/DE/FF/6a6ba04a-ae2f-4cdd-982d-624a0ecd5e45.jpg?s=235x313,https://es.newchic.com/charmkpr-hoodies-12200/p-1929340.html,25.51,3.06,https://es.newchic.com/charmkpr-hoodies-12200/p-1929340.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1929340
SKUG32858,Capucha con costuras color block de pana Camisa,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/B1/AF/03eb62e1-df83-4324-b064-379b84464fb2.jpg?s=235x313,https://es.newchic.com/charmkpr-shirts-12209/p-1747009.html,31.49,3.78,https://es.newchic.com/charmkpr-shirts-12209/p-1747009.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1747009
SKUK30454,Sudaderas japonesas vendimia Patrón,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/F5/F5/89720b80-b636-4bde-a510-296dea5feca3.jpg?s=235x313,https://es.newchic.com/charmkpr-sweatshirts-12201/p-1996065.html,21.73,2.61,https://es.newchic.com/charmkpr-sweatshirts-12201/p-1996065.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1996065
SKUJ29179,Shark Gato Camisetas con estampado japonés,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/89/54/dc7cab9b-1298-45e8-9e98-6af84648eab9.jpg?s=235x313,https://es.newchic.com/charmkpr-t-shirts-12208/p-1948716.html,14.17,1.7,https://es.newchic.com/charmkpr-t-shirts-12208/p-1948716.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1948716
SKUK14160,Camisetas con estampado de eslogan en la espalda,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/DF/D8/918f842b-a0ee-47d1-b4e6-863a1dc7d2f9.jpg?s=235x313,https://es.newchic.com/charmkpr-t-shirts-12208/p-1987026.html,14.17,1.7,https://es.newchic.com/charmkpr-t-shirts-12208/p-1987026.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1987026
SKUK06785,Letra japonesa de patchwork tribal Pantalones,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/D3/7F/122a7d61-7715-4846-a78d-d60d412ba5a2.jpg?s=235x313,https://es.newchic.com/charmkpr-pants-4975/p-1982407.html,30.23,3.63,https://es.newchic.com/charmkpr-pants-4975/p-1982407.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1982407
SKUG81426,Camisetas con estampado de pecho Cartoon Gato,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/30/AA/3cff3340-b8ef-4156-8383-f996761557e4.jpg?s=235x313,https://es.newchic.com/charmkpr-t-shirts-12208/p-1784256.html,14.17,1.7,https://es.newchic.com/charmkpr-t-shirts-12208/p-1784256.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1784256
SKUK18800,Corbata De Flores De Cerezo Cuello Camisetas,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/7B/FC/e920e128-a988-442b-9ab8-182df75dbc73.png?s=235x313,https://es.newchic.com/charmkpr-t-shirts-12208/p-1989944.html,20.99,2.52,https://es.newchic.com/charmkpr-t-shirts-12208/p-1989944.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1989944
SKUK31152,Sudaderas con estampado japonés y patchwork,https://imgaz1.chiccdn.com/thumb/gallery/oaupload/newchic/images/6C/2A/6b37213b-686f-46e2-a2de-9c3e33e87f79.jpg?s=235x313,https://es.newchic.com/charmkpr-sweatshirts-12201/p-1996802.html,24.14,2.9,https://es.newchic.com/charmkpr-sweatshirts-12201/p-1996802.html?p=40111254531976202019&utm_campaign=affcenter&utm_content=&site=23&pid=1996802
